-1.700677804423037301e-02 2.971400616565574981e-03 -1.493190490334256738e-04
-1.705699702689419603e-02 2.677575145314513641e-03 -1.478066638650805573e-04
-1.710212782333613013e-02 2.382874383578811612e-03 -1.462504803726643124e-04
-1.714215426112864968e-02 2.087386875426652279e-03 -1.446509597110709412e-04
-1.717706172552617774e-02 1.791201487545094001e-03 -1.430085758465363317e-04
-1.720683716482306058e-02 1.494407389212892715e-03 -1.413238154553399196e-04
-1.723146909813533245e-02 1.197094021736772214e-03 -1.395971777672854960e-04
-1.725094762165734624e-02 8.993510712024531699e-04 -1.378291744228569472e-04
-1.726526441481284271e-02 6.012684395803614404e-04 -1.360203293193713761e-04
-1.727441274568481192e-02 3.029362162906898545e-04 -1.341711784567815380e-04
-1.727838747598447328e-02 4.444649339070719750e-06 -1.322822697783548526e-04
-1.727718506544282176e-02 -2.941158835803166726e-04 -1.303541630085141363e-04
-1.727080357566026722e-02 -5.926549041635169194e-04 -1.283874294868951203e-04
-1.725924267340268534e-02 -8.910818626804062250e-04 -1.263826519990912970e-04
-1.724250363333449179e-02 -1.189306167287104091e-03 -1.243404246039498382e-04
-1.722058934019142507e-02 -1.487237213423494350e-03 -1.222613524574939637e-04
-1.719350429038498176e-02 -1.784784413316644995e-03 -1.201460516336981153e-04
-1.716125459303691897e-02 -2.081857225549938861e-03 -1.179951489418492352e-04
-1.712384797044259194e-02 -2.378365184707140548e-03 -1.158092817408072812e-04
-1.708129375795271881e-02 -2.674217931064522789e-03 -1.135890977502233070e-04
-1.703360290328398419e-02 -2.969325240327670180e-03 -1.113352548585309573e-04
-1.698078796524242484e-02 -3.263597053395703249e-03 -1.090484209279983659e-04
-1.692286311186647768e-02 -3.556943506147805870e-03 -1.067292735968891908e-04
-1.685984411798712931e-02 -3.849274959227813250e-03 -1.043785000786146629e-04
-1.679174836219766639e-02 -4.140502027820979793e-03 -1.019967969580968099e-04
-1.671859482324140889e-02 -4.430535611419099580e-03 -9.958486998535983562e-05
-1.664040407580858263e-02 -4.719286923540229155e-03 -9.714343386642827305e-05
-1.655719828574570354e-02 -5.006667521409367307e-03 -9.467321205152674855e-05
-1.646900120467948911e-02 -5.292589335579769155e-03 -9.217493652066333543e-05
-1.637583816404514919e-02 -5.576964699481344601e-03 -8.964934756681867750e-05
-1.627773606853752039e-02 -5.859706378883346688e-03 -8.709719357650628829e-05
-1.617472338896708967e-02 -6.140727601262842804e-03 -8.451923080801313198e-05
-1.606683015453369556e-02 -6.419942085059033264e-03 -8.191622316736043880e-05
-1.595408794451711604e-02 -6.697264068809443902e-03 -7.928894198188714975e-05
-1.583652987938194423e-02 -6.972608340145249571e-03 -7.663816577171690377e-05
-1.571419061130453071e-02 -7.245890264637626539e-03 -7.396468001903165677e-05
-1.558710631412229750e-02 -7.517025814489208813e-03 -7.126927693536626589e-05
-1.545531467270711522e-02 -7.785931597042703746e-03 -6.855275522683898308e-05
-1.531885487176470016e-02 -8.052524883107432807e-03 -6.581591985743871971e-05
-1.517776758406909343e-02 -8.316723635084611460e-03 -6.305958181056601369e-05
-1.503209495812653923e-02 -8.578446534879373420e-03 -6.028455784866449313e-05
-1.488188060528604362e-02 -8.837613011588489956e-03 -5.749167027122356323e-05
-1.472716958628516801e-02 -9.094143268954137452e-03 -5.468174667110695640e-05
-1.456800839724755291e-02 -9.347958312558345487e-03 -5.185561968932794584e-05
-1.440444495513307915e-02 -9.598979976766485941e-03 -4.901412676829964237e-05
-1.423652858264424191e-02 -9.847130951389585982e-03 -4.615810990369369063e-05
-1.406430999259820035e-02 -1.009233480806083494e-02 -4.328841539495496122e-05
-1.388784127176734447e-02 -1.033451602631826026e-02 -4.040589359448933511e-05
