1.681791092188866521e-01 9.916285390908896602e-01 1.002672101347332201e-02
1.512818101258411319e-01 9.943455840460820871e-01 1.002491805019870182e-02
1.343404557188997428e-01 9.967730695574137378e-01 1.002014448735035444e-02
1.173599780929579645e-01 9.989102864278970317e-01 1.001240173943797503e-02
1.003453206397850461e-01 1.000756608438514661e+00 1.000169210080487439e-02
8.330143668783356048e-02 1.002311492525384207e+00 9.988018744948111427e-03
6.623328813932823078e-02 1.003574478935890246e+00 9.971385723578122043e-03
4.914584410491899119e-02 1.004545191363741763e+00 9.951797965418104908e-03
3.204407953617639804e-02 1.005223337062917555e+00 9.929261274743545612e-03
1.493297385620800249e-02 1.005608706940460673e+00 9.903782329662269568e-03
-2.182490411317313146e-03 1.005701175628087807e+00 9.875368680135589161e-03
-1.929732901446126400e-02 1.005500701532587193e+00 9.844028745741070785e-03
-3.640655734633558432e-02 1.005007326864959305e+00 9.809771813177650332e-03
-5.350519181916707501e-02 1.004221177648291663e+00 9.772608033513770220e-03
-7.058825123882531138e-02 1.003142463704322473e+00 9.732548419179401847e-03
-8.765075817952137915e-02 1.001771478618683764e+00 9.689604840702834704e-03
-1.046877403583973132e-01 1.000108599684791821e+00 9.643790023193168914e-03
-1.216942320097105235e-01 9.981542878263683916e-01 9.595117542569593649e-03
-1.386652752583306947e-01 9.959090874985765396e-01 9.543601821538559918e-03
-1.555959214922525979e-01 9.933736265677536315e-01 9.489258125320009993e-03
-1.724812327338350604e-01 9.905486161697285574e-01 9.432102557123961048e-03
-1.893162830094739790e-01 9.874348505467132053e-01 9.372152053378792619e-03
-2.060961597174104099e-01 9.840332068627611894e-01 9.309424378712603115e-03
-2.228159649933818542e-01 9.803446449977831767e-01 9.243938120689165414e-03
-2.394708170738153452e-01 9.763702073201258047e-01 9.175712684300044511e-03
-2.560558516562634335e-01 9.721110184377022012e-01 9.104768286214466252e-03
-2.725662232567853116e-01 9.675682849276855402e-01 9.031125948788689198e-03
-2.889971065639644343e-01 9.627432950447680771e-01 8.954807493836628232e-03
-3.053436977892651227e-01 9.576374184079915475e-01 8.875835536163566991e-03
-3.216012160134164577e-01 9.522521056661681360e-01 8.794233476864921073e-03
-3.377649045285184837e-01 9.465888881418956791e-01 8.710025496391975847e-03
-3.538300321755632472e-01 9.406493774541943020e-01 8.623236547386706544e-03
-3.697918946770547555e-01 9.344352651197829207e-01 8.533892347287758834e-03
-3.856458159644206019e-01 9.279483221330183662e-01 8.442019370709827678e-03
